#Chrome:bin	Samp_count	Bin_corrected_coefficient
chr15:772	244	1.03019180154213
chr12:2062	244	0.816445097385047
chr7:1487	244	1.02952141875556
chr4:2230	244	0.958862177088794
chr11:1402	244	1.00155658131112
chr2:2721	244	1.07486885277597
chr19:476	244	1.14196287377134
chr10:1732	244	0.832611163845488
chr16:1468	244	0.784506781640511
chr14:1246	244	1.11215779359819
chr5:1005	244	0.932158570668997
chr16:258	237	0.0356264288542818
chrY:113	167	0.045978580238426
chr13:1243	244	1.08336169403151
chr16:1335	244	1.1948728799347
chrX:784	99	0.862508982352661
chr8:2358	244	0.81878271381109
chr6:1537	244	1.06666492199931
chr12:1014	244	1.03019036979577
chr11:382	244	1.06932319765873
chrX:1984	99	0.889846074823965
chr3:756	244	1.07769458256167
chr8:868	244	0.955424905963731
chr18:703	244	1.13654196705777
chrX:2042	99	1.06008585089452
chr6:908	244	0.994446541966724
chr7:836	244	1.07524730428291
chr1:1434	244	1.61494910499709
chr21:322	244	0.953923818470803
chr3:1228	244	1.15864061338437
chrX:151	99	1.0659889910693
chr1:959	244	1.21840602129131
chr6:1365	244	1.02802877273031
chr1:1522	244	1.11914864962813
chr2:181	244	0.87398044982894
chr1:3235	244	1.04659780213623
chr7:1589	244	1.02627688758196
chr7:2096	244	1.00571965534087
chr4:2554	244	1.18887882290823
chr20:605	244	1.18176258359205
chr10:261	244	1.11992831399994
chr4:2367	244	1.06128291149448
chr10:1024	244	1.07997499053634
chrX:2198	99	1.15799962623312
chr6:588	244	0.963386957047101
chr14:873	244	1.06555163572082
chr1:834	244	0.923725628499606
chr2:1472	244	0.374144271948865
chr1:3173	244	1.031762197781
chr17:318	55	0.0115986484271006
chr2:750	244	1.11363917100509
chr8:1373	244	0.997623107994367
chr3:2284	244	1.05410047879127
chr17:840	244	1.07941541480152
chr2:2523	244	1.0415546790169
chr3:1814	244	1.03168825721496
chr8:73	244	1.0565110703035
chr5:2352	244	1.18262809655663
chr4:1943	244	1.05113574715711
chr6:2115	244	1.06005174909229
chrX:2229	99	0.971450534101878
chr3:3246	244	1.15286134300428
chr8:28	244	0.991977117015783
chr8:970	244	1.00854356277329
chr1:1429	244	0.984689062723519
chr5:1273	244	0.905119303168721
chr1:1202	244	1.12103511632381
chr14:1394	244	1.02954407944485
chr2:405	244	0.887868816916438
chr11:1397	244	0.990041939409879
chr3:2841	244	1.05401293371483
chr15:1475	244	1.22365649631382
chr2:1508	242	0.0780270545851261
chr9:1742	244	1.10427988192553
chr14:386	244	0.876767794592941
chr18:596	244	1.0809485756403
chr18:341	244	1.07313987607655
chr5:3005	244	0.939921587679975
chr22:538	244	0.983579724150435
chr2:264	244	1.15708255204187
chr4:2430	244	0.986922332342669
chr7:2452	244	1.09938795415339
chr22:361	200	0.0225856283599679
chr15:1058	244	0.953205518237697
chr16:1236	244	1.05317016904532
chr18:118	244	1.12111636809037
chr12:1044	244	0.95190234534552
chr1:1614	244	1.0851681408096
chr12:1548	244	1.15170050493638
chr1:1644	244	1.10588194518426
chr6:2060	244	1.00668298791284
chr3:2022	244	0.865243794125676
chr2:3008	244	1.12014755729744
chr20:263	244	1.10366594622685
chr7:1290	244	0.863837148769439
chr22:383	244	0.907880566110413
chr17:689	244	0.803011755378838
chr10:1771	244	1.14904571108575
chr8:1936	244	1.07765683884778
chr19:381	244	0.676389507351588
chr10:87	244	0.958462088239076
chr5:1487	244	1.12706913879316
chr9:1877	244	1.08459487742543
chr4:1900	244	1.13638491647193
chr5:2097	244	1.07254750388893
chr12:4	244	1.1319394692703
chr3:2265	244	0.873441923400323
chr11:1071	244	1.06871213811897
chr11:444	244	0.987268408751431
chr1:4029	244	0.929169993009342
chr5:1151	2	0.0106158152134954
chr4:1641	244	1.01754138755723
chr5:2413	244	0.998683861614762
chr4:3155	244	0.950075603997123
chr4:540	244	0.931874306242169
chr1:3242	244	1.0133489179681
chr3:3071	244	0.967228437741113
chr1:1169	244	1.08130995644737
chr18:875	244	1.02262621419805
chrX:1094	99	1.0238286799508
chr18:1145	244	1.03430273307214
chr16:1261	244	0.955874625480375
chr2:707	244	0.918589305288807
chr8:1940	244	0.993836561713453
chr2:1682	244	1.1980664629223
chr13:1459	244	1.01821087368445
chr11:656	244	0.89337887192554
chr10:2247	244	1.1568089391964
chr1:2396	115	0.0135789785255718
chr7:820	244	0.969039629423702
chr4:494	244	1.00387787029213
chr7:666	244	0.786543231978136
chr18:956	244	1.15576726890837
chr1:600	244	0.898825025845356
chr11:2132	244	1.09252315242852
chr3:2224	244	1.01735514099608
chr3:2950	244	0.85480234104726
chr10:593	244	0.903860348065324
chr17:242	244	1.01482259082493
chrY:465	7	0.0101620896345794
chr6:2188	244	1.06553486667272
chr6:1798	244	1.10630179288036
chr3:564	244	0.934423959393514
chrX:683	99	0.885657764497616
chr3:682	244	1.18760168092285
chr1:3022	244	1.18323297638438
chr11:200	244	1.05541022856369
chr2:1531	244	2.47299946563246
chr1:3159	244	0.926789200695121
chr19:30	244	0.937382524248129
chr22:417	244	0.738554516168683
chrX:767	99	0.965165860210167
chr7:1152	244	1.05808081936129
chrX:355	99	0.941269253426838
chr1:1755	244	0.976596337431981
chr5:130	244	1.16040545500726
chrX:301	99	1.20410222007917
chr16:1361	244	1.02279716580322
chr1:2972	244	0.86030495908643
chr17:429	244	0.99101724138066
chr8:1387	244	1.02568206132272
chr3:634	244	0.993622328785009
chr16:557	244	1.14100871189821
chr8:2242	244	1.12745880253747
chr7:1256	244	0.879697164153696
chr21:593	244	1.04587145620461
chr7:1845	244	1.07404286242269
chr8:909	244	0.970619308923362
chr2:3373	244	1.01929107866196
chr1:1790	244	1.06462741908169
chr6:508	244	0.788844172484682
chr6:1489	244	1.14568418422825
chrX:2480	99	0.678428312984106
chr11:589	244	1.13964567067494
chr11:1914	244	1.13831020753902
chr3:1868	244	0.985175226351492
chr14:572	244	0.978094708745495
chr14:1715	244	0.890170354774016
chr14:781	244	1.07532973955621
chr5:1205	244	0.797978223053891
chr7:272	244	1.00411215454145
chr2:287	244	1.09506606146004
chr7:370	244	1.15749096260953
chr5:725	244	0.81022066004664
chr1:427	244	0.568716086114835
chr3:2482	244	1.01226387325166
chr2:91	244	1.05219554552902
chr18:197	244	1.06408985979157
chr18:36	244	1.07741856812565
chr8:500	244	0.907463284313586
chr9:619	244	0.880647280145236
chr5:2034	244	1.02684038829059
chr4:1617	244	1.10410144892459
chr14:1376	244	1.04127413741889
chr7:2228	244	1.07247067012296
chr21:637	244	1.17805512128467
chr18:1032	244	1.0558265990565
chr2:1482	244	0.975063791063157
chr10:480	244	0.914764254381287
chr15:1441	244	1.14099167443317
chr13:1472	244	1.02365778812026
chr11:1656	244	1.01112539571999
chr2:1972	244	1.02221122336389
chr8:267	244	1.06542358228542
chr3:3038	244	1.08548230327623
chr2:2083	244	1.09979567101215
chr19:831	244	0.831812923169204
chr4:2029	244	1.05074478631182
chr19:154	244	0.939863556628283
chr1:3054	244	1.11662000289348
chr1:272	244	0.963393606941797
chr13:748	244	1.12477434661588
chr6:2042	244	1.04092851652559
chr6:781	244	1.00387762848074
chr20:743	244	0.940623318908591
chr20:70	244	1.00816184493367
chr14:709	244	0.982161357750441
chr18:947	244	1.08503052537571
chr12:1768	244	1.06845199563728
chr7:73	244	1.06150709266713
chr4:2601	244	1.03494939221582
chr5:2793	244	1.17292026742649
chr18:1053	244	1.08977482182161
chr1:2011	243	0.128115965017753
chr12:1449	244	0.851812391955113
chrX:657	99	1.16153658080793
chr8:658	244	0.965186965938068
chr21:271	244	1.07338133664327
chr2:2872	244	0.927312439802207
chr5:1544	244	1.0008658759041
chr9:1337	244	1.17366494965526
chr11:2161	244	1.01812164194164
chr4:1311	244	1.05487855673311
chr10:18	244	0.912848298065079
chr1:1817	241	0.0775866611963877
chr12:734	244	0.970122355978765
chr4:2848	244	1.00166654200893
chr9:1259	244	1.04589576368256
chr6:1852	244	0.878094928460299
chr10:62	244	1.02124356145315
chr2:1878	244	0.702179644199873
chr2:3879	244	0.621987528773353
chr3:2144	244	1.0311568821518
chr15:1631	244	0.831226964127907
chr12:1445	244	0.938473169639483
chr5:1800	244	1.09659631896565
chr13:549	244	0.962880474527496
chr17:692	244	1.21711503112482
chr7:1529	244	0.943122706695394
chr4:717	244	1.07506855934298
chr12:461	244	1.06848897524521
chr14:479	244	1.02442765429102
chr7:1932	244	1.07460127842748
chr4:2170	244	1.11729843035826
chr3:1244	244	1.04590027649387
chr3:501	244	0.973026606956627
chr3:2574	244	1.02641146866141
chr1:3424	244	1.22338164887502
chr1:1157	244	1.01918301746353
chr1:2428	244	0.784353815366982
chr18:654	244	0.972628269325645
chr7:356	244	1.10292793167085
chr14:1276	244	1.25910933694955
chr9:521	244	0.95811036863785
chr2:3666	244	1.09546682372469
chr8:794	244	0.887272940618936
chr13:1734	244	1.08473049900831
chr8:1574	244	1.05557178435367
chr4:1471	244	1.01818271285691
chr3:2459	244	1.0796134802733
chr3:1849	244	1.16048805325959
chr18:993	244	1.11146002656014
chr14:1107	244	1.15142157223859
chr9:710	27	0.0119415970550847
chr20:795	244	0.839067640189402
chr9:1654	244	0.843551701026156
chr1:1952	244	0.981704539061258
chr2:668	244	0.99007366623866
chr5:931	244	1.14010132133006
chr6:1372	244	0.984320966995026
chr5:868	244	1.07792879824942
chr11:2003	244	1.24214722824249
chr5:1693	244	0.882037333533428
chr7:420	244	0.962863347479596
chr5:364	244	1.05959245702333
chr10:1362	244	0.917047298844576
chr1:213	244	1.08513998356678
chr2:2687	244	1.07592386133976
chr14:1636	244	1.2029827451303
chr1:3550	244	0.769034318322111
chr20:1004	244	1.18134962319734
chr1:3890	244	1.09698868394632
chr17:656	244	1.02422283725129
chrX:1853	99	1.09908417135532
